time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-1.36995106603391e-07,-2.86808838833468e-08,10.004397307685757,6.282824810625375,0.00013884458333990324,0.0,-1.252022526552959e-05,-1.6156885266406336e-05,0.14656863683177263,-0.022092584976162163,0.006581576778673326,0.0,451.7229816259209,452.2532654655686,451.7703155768832,449.98584387387297
0.12000000000000001,-5.2359071743555956e-06,-1.1702534312006766e-05,10.013376155204616,6.281634686900144,0.0010603842900769322,0.0,-0.0002190651329898851,-0.00048349819717202633,0.15272529850765135,-0.015665622921972745,0.028799596995678304,0.0,405.15147357689705,407.1437728187284,405.68971157638913,406.26625901827583
0.18,-4.3646410837887516e-05,-7.240666432593271e-05,10.023215856383489,6.280421288931777,0.0027185688245028317,0.0,-0.0012146663288198605,-0.0016355777967654254,0.17526088178113647,-0.03140095401004575,0.025202593505324413,0.0,410.93009817561085,410.6114359956262,413.1627929826983,411.77333614570585
0.23999999999999996,-0.0001797729399622347,-0.00023613457313504508,10.037140437970908,6.278519009698211,0.0038002229896694217,0.0,-0.003464580888642989,-0.004018881759032708,0.28886810915663325,-0.03231895973468552,-0.0029053607004616167,0.0,442.196046964257,439.87488191738265,441.4895969053285,441.4134906443909
0.3,-0.0004787628858917965,-0.0005977885018317558,10.060841978056239,6.276777994024638,0.004050687758375915,0.0,-0.006509356373162849,-0.008253359715815244,0.5011125681064148,-0.02311917435211456,0.015508980488743732,0.0,470.82821895573124,472.2504601716989,470.6876506272682,471.3987629112669
0.36000000000000004,-0.0009449673045808736,-0.0012123418930730819,10.091174546053127,6.275516146754464,0.004661220818840128,0.0,-0.009101647245315021,-0.01234870264387963,0.5099679086660147,-0.017151223492261246,-0.003503735231788991,0.0,408.96813446335057,407.2713289456907,406.0744143866225,406.60928863649235
0.4200000000000001,-0.0016078079998739754,-0.0021499371760668267,10.129167971134338,6.274691801200742,0.005047378717129902,0.0,-0.013009618485684443,-0.019017152948141082,0.7563480124252191,-0.007664916446220809,0.021221636558053737,0.0,479.7093525557233,481.5828810028461,481.8454508115074,482.5620809888132
0.48000000000000015,-0.002523721669694481,-0.0035109462406606802,10.18252077400089,6.2739465507109,0.006004770871290255,0.0,-0.01766459348637238,-0.026421462816673135,1.0218780856819452,-0.024215040216331647,0.0025086309033160257,0.0,487.8557094051337,486.45655017856944,487.9056508003401,486.6687433402162
0.5400000000000001,-0.0037009593953551056,-0.005281067404476725,10.245617429566042,6.2725386039907285,0.005728363763166655,0.0,-0.02157648326469867,-0.03271935791063221,1.0812877077202436,-0.02200802317972742,-0.025267281838055412,0.0,426.38427154937614,424.00500899595625,424.5278378199635,424.7170629241476
0.6000000000000002,-0.0051017469173494975,-0.007456745914988669,10.312340398845945,6.270922837835526,0.004086981764547026,0.0,-0.024964461751711922,-0.03994164912646049,1.1427506777791876,-0.039246952730133414,-0.03190051359767875,0.0,425.92816412674256,425.3603278276931,426.50440825425494,425.02942803542106
0.6600000000000003,-0.006686154220563055,-0.010147211542544459,10.386390399625133,6.268509992543105,0.0017230466477657913,0.0,-0.02761264399824116,-0.05001034834170251,1.325385831997193,-0.04222157309712189,-0.061879829634249,0.0,465.13330015666617,462.77885237977347,463.56156388289236,463.3270218187022
0.7200000000000003,-0.008363743133491293,-0.013453250084144342,10.468413608859755,6.2656848532119245,6.280913517171868,0.0,-0.027925595456746038,-0.06045372976579508,1.4086178924831512,-0.059217070241672526,-0.07819477479816839,0.0,433.2412012192549,431.8638417917401,434.82673124978606,433.39928529141906
0.7800000000000004,-0.009973072426778038,-0.01746302559960042,10.556339097075002,6.262214246642911,6.275943121292848,0.0,-0.02521902787761416,-0.07356792005180851,1.522078269302642,-0.05522980145868423,-0.09427913258128673,0.0,444.3246358347112,442.9984192794186,442.48608174567056,442.8118374749035
0.8400000000000004,-0.011286449723065566,-0.022399681755654058,10.654205042484255,6.2587304596272375,6.270840524176675,0.0,-0.017925629245818274,-0.09138567693098212,1.739799220658683,-0.06443297427846947,-0.07107064715143553,0.0,474.1908067774478,475.9644677255898,475.41786636489314,474.7101230545464
0.9000000000000005,-0.012105080935172735,-0.028374683084533073,10.760493413364422,6.25540565588445,6.266591418927485,0.0,-0.008952244624262829,-0.10812156543619114,1.8030333771771105,-0.041690665304560656,-0.07031894838549482,0.0,428.3360039348492,428.3958724445722,427.0162805007301,428.9494137404666
0.9600000000000005,-0.012363484147998836,-0.035314332556397716,10.867055196295762,6.253700622303327,6.2619775690620845,0.0,0.0006862295789925145,-0.1233626378725869,1.749098809902135,-0.010159524658982509,-0.095205560790719,0.0,389.56324002478846,387.2233185800032,387.11841766221784,390.07338761433084
1.0200000000000005,-0.011740683482894788,-0.043491913037056705,10.98054239576765,6.2531505648450505,6.2572987518822245,0.0,0.020718946301922045,-0.14928459230147165,2.03332817372686,-0.007254132426475855,-0.05621503687290929,0.0,493.171997368129,496.03850445262,495.13157015445864,495.34538740160326
1.0800000000000005,-0.010006099600453474,-0.05300814829548381,11.10343179373017,6.252511012860488,6.254441888462637,0.0,0.0373809099695453,-0.16797023635184555,2.0629212502044316,-0.018528531081313783,-0.034388234679516724,0.0,417.0385164977146,418.9388980274013,419.06178877006045,418.08076787387546
